minute,s1_final_BVP,s2_final_BVP,s3_final_BVP,s4_final_BVP,s5_final_BVP,s6_final_BVP,s7_final_BVP,s8_final_BVP,s9_final_BVP,s10_final_BVP,test_progress,avg_BVP
127,0.015682291666666664,-130.61,69.09,-139.66,13.44,-10.56,-28.29,-2.39,20.27,505.99,0.7055555555555556,29.72956822916667
128,-0.018156250000000002,23.89,-3.98,3.21,5.72,-17.89,96.52,-7.47,-13.16,15.35,0.7111111111111111,10.217184374999999
129,0.020335937499999977,-22.77,-5.48,1.61,57.65,3.14,-2.99,-56.37,103.04,34.85,0.7166666666666667,11.27003359375
130,0.020481770833333322,46.03,52.27,-301.58,14.07,23.89,-60.72,-17.8,-56.52,-1.12,0.7222222222222222,-30.14595182291667
131,0.003432291666666661,-24.49,-64.13,0.5400000000000001,-102.94,-8.88,-0.05999999999999999,15.640000000000002,210.65,7.05,0.7277777777777777,3.3383432291666724
132,-0.15258072916666668,66.84,370.85,22.12,10.67,-1.47,15.98,77.74,-21.780000000000005,14.65,0.7333333333333333,55.54474192708334
133,0.06724479166666665,44.9,39.06000000000001,3.0899999999999994,-28.88,-9.38,12.27,-15.54,-23.96,-12.24,0.7388888888888889,0.9387244791666683
134,-0.30519270833333334,-66.75,247.83,-1.52,-21.969999999999995,12.46,1.76,-118.12999999999998,-51.06000000000001,-31.71,0.7444444444444445,-2.939519270833334
135,0.3448828125,13.5,-328.68,-126.46,380.19,-51.57,-107.41,115.82,17.54,-72.57,0.75,-15.929511718750001
136,0.026312500000000006,101.02,-99.75,-0.69,-41.65,5.35,0.91,125.12999999999998,-92.8,11.9,0.7555555555555555,0.9446312499999985
137,0.04731510416666665,17.71,34.78,-5.72,94.26,-20.25,-25.44,31.18,-56.79,-4.49,0.7611111111111111,6.528731510416669
138,-0.024502604166666702,-40.08,-49.21,-2.88,-33.83,26.79,-3.57,-121.58,16.7,0.64,0.7666666666666667,-20.704450260416667
139,-0.10860416666666657,-42.08,-290.47,26.96,-14.22,12.5,-23.01,-13.09,-30.2,-2.43,0.7722222222222223,-37.61486041666667
140,-0.7349583333333334,28.36,592.36,-43.7,-38.61,-20.67,-2.2,-151.74000000000004,27.21,-3.6600000000000006,0.7777777777777778,38.66150416666666
141,1.0468177083333334,20.92,43.2,10.609999999999998,-46.02,-39.79,1.5,23.54,-36.54,-32.26,0.7833333333333333,-5.379318229166666
142,-0.7368151041666664,9.98,-11.85,81.91,25.2,12.56,-62.18999999999999,112.0,127.87999999999998,0.02,0.7888888888888889,29.477318489583332
143,0.4766692708333334,34.79,11.08,127.45,3.42,28.61,45.27,14.84,27.52,6.12,0.7944444444444444,29.95766692708333
144,0.026497395833333326,22.91,57.91,-15.99,-12.93,-8.859999999999998,92.44,-55.53,-67.27,3.65,0.8,1.6356497395833323
145,-0.04116406249999998,73.44,-99.11,-7.12,-38.43,14.22,-43.33,-11.29,40.53,-0.4799999999999999,0.8055555555555556,-7.161116406250001
146,0.045153645833333395,-60.36,160.12,-2.32,33.7,29.69,1.3300000000000003,167.22,-25.42,12.51,0.8111111111111111,31.651515364583332
147,-0.05127604166666668,-105.71,24.26,4.86,-209.83,25.32,33.25,71.16,13.57,10.54,0.8166666666666667,-13.26312760416667
148,0.04843229166666665,44.29,12.29,-9.74,-144.44,57.26,55.88,-61.45,-33.12,4.53,0.8222222222222222,-7.445156770833333
149,-0.107375,60.93,47.54,-29.07,9.56,2.92,-3.19,142.43,-16.24,20.5,0.8277777777777777,23.5272625
150,0.042109374999999956,47.29,7.63,-0.17,37.92,8.16,-1.65,66.36,13.859999999999998,-9.45,0.8333333333333334,16.999210937500003
151,0.04800781250000001,23.13,-152.59,-25.280000000000005,14.04,19.02,27.67,-104.91,29.96,-92.91,0.8388888888888889,-26.182199218749997
152,-0.02645572916666667,-45.04,-0.23999999999999996,-6.49,-12.06,3.29,-60.87,-241.97,85.41,-18.33,0.8444444444444444,-29.632645572916665
153,-0.1520807291666667,14.51,57.92,12.890000000000002,-1.59,-9.23,6.67,-0.04,10.37,-9.23,0.85,8.211791927083333
154,-0.020265625,19.4,40.28,-24.15,-26.43,1.4199999999999997,-3.61,17.31,22.15,5.48,0.8555555555555555,5.1829734375
155,0.10817187499999996,60.17,-310.14,442.07,5.17,83.99,217.13,280.96,38.95,-32.52,0.8611111111111112,78.5888171875
156,0.19880989583333336,92.54,253.81,154.84,-22.73,8.02,2.79,6.51,-152.37,137.06,0.8666666666666667,48.06688098958333
157,-0.09572656249999997,-5.98,-1.56,-3.72,-61.59,5.54,5.04,27.39,-8.39,-7.29,0.8722222222222222,-5.06557265625
158,-0.12103124999999999,-114.31,8.24,-50.82,3.5,-15.109999999999998,72.75,35.24,-91.39,8.95,0.8777777777777778,-14.307103125000001
159,0.0369973958333333,17.85,108.05,8.34,9.48,0.21,6.01,-97.52,-5.89,30.65,0.8833333333333333,7.721699739583332
160,0.2791067708333334,-13.26,10.04,-12.56,11.65,10.8,39.43,38.38,-6.99,295.82,0.8888888888888888,37.35891067708333
161,-0.06722916666666667,-40.77,-216.85,-3.76,0.66,-1.75,-0.46,-322.55,44.55,1.3300000000000003,0.8944444444444445,-53.96672291666666
162,0.043414062499999996,190.03,-17.41,-5.96,1.62,-13.57,-2.2,165.37,-19.59,92.95,0.9,39.12834140625
163,-0.250578125,111.24,-9.359999999999998,7.6,0.13,11.45,-12.12,55.96,-14.25,5.24,0.9055555555555556,15.563942187499999
164,0.047223958333333295,-47.74,28.030000000000005,-0.94,1.77,-60.77,1.69,-0.29,78.04,20.61,0.9111111111111111,2.0447223958333325
165,-0.15416406249999995,33.62,112.01,-0.68,0.77,-173.44,-5.53,20.41,-20.09,5.66,0.9166666666666666,-2.7424164062500003
166,0.11308854166666671,-22.93,36.05,-2.25,-2.21,14.29,37.91,-260.98,-13.9,70.02,0.9222222222222223,-14.388691145833338
167,0.06784635416666668,16.41,-133.17,-9.74,44.23,16.17,12.96,-21.69,-15.66,0.28,0.9277777777777778,-9.01421536458333
168,0.12978385416666663,-77.73,437.63,-0.78,8.63,22.1,-34.11,-44.15,-43.74,-25.36,0.9333333333333333,24.261978385416672
169,-0.24269270833333337,41.65,118.16,0.38,-20.21,87.24,32.51,-1.86,8.88,50.15,0.9388888888888889,31.66573072916666
170,0.018002604166666658,-95.62999999999998,-125.82,-7.22,12.02,1.61,8.12,-141.78,4.7,184.3,0.9444444444444444,-15.968199739583326
171,-0.03726822916666666,-117.59,18.58,-311.0,10.38,5.25,17.43,43.77,9.4,-47.93999999999999,0.95,-37.17572682291667
172,0.15199739583333335,93.93,-16.92,-230.79,7.89,81.8,-45.79,-13.04,67.56,-36.23,0.9555555555555556,-9.143800260416665
173,0.033411458333333345,62.07,-110.42,-4.56,1.65,-15.84,2.65,-13.02,26.08,-31.68,0.9611111111111111,-8.303658854166667
174,-0.11444010416666667,64.12,2.07,80.61,3.27,7.31,7.1,51.9,-24.030000000000005,24.969999999999995,0.9666666666666667,21.720555989583335
175,0.05757291666666669,-28.73,43.58,46.31000000000001,-37.62,9.07,-55.53,-4.81,-50.28,0.4,0.9722222222222222,-7.7552427083333315
176,0.08295312499999995,43.76,-277.04,1.34,-1.85,6.72,-22.13,10.38,-18.43,22.64,0.9777777777777777,-23.4527046875
177,-0.01779427083333333,-33.76,-178.42,9.890000000000002,-28.95,7.53,15.640000000000002,-38.64,-44.45,14.68,0.9833333333333333,-27.649779427083324
178,-0.123984375,-55.9,12.3,-350.17,-2.38,-2.69,8.640000000000002,107.76,108.27,-77.53,0.9888888888888889,-25.182398437500005
179,0.13755208333333332,124.12999999999998,249.65,84.97,-16.42,-29.780000000000005,-207.68,72.96,-21.99,0.5400000000000001,0.9944444444444445,25.65175520833332
180,-0.00332812499999996,-99.96,246.25999999999996,23.19,24.42,-3.27,245.50999999999996,-61.47,17.1,13.44,1.0,40.52166718749999
