minute,s1_final_HR,s2_final_HR,s3_final_HR,s4_final_HR,s5_final_HR,s6_final_HR,s7_final_HR,s8_final_HR,s9_final_HR,s10_final_HR,test_progress,avg_HR
96,102.72333333333333,112.57,79.73,76.68,81.42,72.42,62.92,87.53,76.23,85.78,0.5333333333333333,83.80033333333333
97,84.78766666666667,116.55,81.65,69.37999999999998,88.9,68.17,84.2,90.83,77.32,85.35,0.5388888888888889,84.71376666666666
98,87.251,106.27,84.95,80.03,113.32,89.18,79.12999999999998,80.28,80.93,80.15,0.5444444444444444,88.14909999999999
99,106.66183333333333,113.87000000000002,85.43,78.78,95.77,84.5,76.23,75.62000000000002,72.25,81.87999999999998,0.55,87.09918333333334
100,114.97333333333333,113.62999999999998,73.75,73.65,92.95,75.45,87.18,85.98,70.28,86.83,0.5555555555555556,87.46733333333333
101,104.46816666666668,111.08,70.82,66.25,95.23,74.18,96.97,69.12999999999998,71.65,88.37999999999998,0.5611111111111111,84.81581666666668
102,91.38966666666667,109.45,97.73,76.92,91.1,114.68,73.98,94.72,77.37999999999998,94.75,0.5666666666666667,92.20996666666669
103,84.236,104.7,96.12000000000002,80.5,79.97,84.48,76.72,99.45,79.43,81.5,0.5722222222222222,86.71060000000003
104,93.762,109.7,104.57,75.85,84.9,73.98,77.85,86.35,74.73,91.25,0.5777777777777777,87.2942
105,92.3605,104.53,113.77,67.62,87.02,69.33,70.05,87.98,75.95,107.78,0.5833333333333334,87.63905
106,108.10283333333334,98.62999999999998,123.23,75.62999999999998,93.62000000000002,82.53,70.48,89.18,73.87999999999998,94.02,0.5888888888888889,90.93028333333334
107,104.94916666666667,99.3,123.43,78.1,87.15,74.95,77.93,82.8,76.67,103.68,0.5944444444444444,90.89591666666665
108,102.19216666666667,105.42,100.78,80.45,104.58,85.5,74.12000000000002,83.27,79.02,94.15,0.6,90.94821666666665
109,79.47250000000001,102.08,90.62000000000002,83.02,120.33,92.35,78.9,75.28,83.45,84.92,0.6055555555555555,89.04225
110,77.4515,103.55,105.95,83.0,99.5,68.8,60.82,79.7,76.42,76.57,0.6111111111111112,83.17615
111,80.45949999999999,101.57,91.95,74.62999999999998,70.92,72.8,79.5,71.32,75.7,76.32,0.6166666666666667,79.51695
112,73.34549999999999,103.62999999999998,86.6,77.62000000000002,76.42,72.58,94.53,75.37000000000002,80.12000000000002,75.95,0.6222222222222222,81.61654999999999
113,87.0825,108.33,82.7,103.42,82.7,81.57,105.35,80.25,78.82,85.23,0.6277777777777778,89.54525000000001
114,109.16033333333333,109.43,81.98,90.12999999999998,92.48,71.87999999999998,94.28,85.9,78.17,82.87999999999998,0.6333333333333333,89.62903333333333
115,104.87183333333334,101.52,88.42,75.75,75.0,79.58,106.55,82.33,72.03,65.57,0.6388888888888888,85.16218333333333
116,97.33200000000001,102.6,86.47,72.2,90.82,76.05,109.47,78.3,70.9,77.17,0.6444444444444445,86.13119999999999
117,87.92083333333333,104.47,64.58,84.45,95.03,92.57,71.97,84.03,63.67,87.17,0.65,83.58608333333332
118,88.8485,109.48,81.5,74.75,86.72,79.82,89.87999999999998,82.73,74.97,91.03,0.6555555555555556,85.97285000000001
119,67.8545,107.95,91.47,73.17,85.42,70.67,76.43,99.17,84.93,89.67,0.6611111111111111,84.67344999999999
120,74.6595,105.58,85.87999999999998,88.32,77.55,66.72,68.07,90.93,80.17,70.87999999999998,0.6666666666666666,80.87594999999999
121,87.9625,101.58,69.65,66.8,100.25,66.82,77.78,96.02,77.48,85.37999999999998,0.6722222222222223,82.97225
122,81.46316666666667,105.8,83.87999999999998,86.05,78.18,75.92,67.47,95.6,79.62000000000002,83.28,0.6777777777777778,83.72631666666668
123,90.74716666666667,111.55,92.93,75.55,78.05,74.53,64.9,89.45,75.62999999999998,88.33,0.6833333333333333,84.16671666666667
124,76.17683333333333,109.78,99.6,72.8,63.82,80.55,78.05,76.03,78.25,85.78,0.6888888888888889,82.08368333333333
125,73.319,107.87999999999998,93.5,90.97,59.4,70.82,75.97,83.83,81.37000000000002,63.25,0.6944444444444444,80.0309
126,103.41716666666666,108.0,82.67,92.85,72.37999999999998,69.55,69.37000000000002,91.47,79.52,76.9,0.7,84.61271666666667
127,116.0035,108.8,71.0,72.37000000000002,76.53,70.77,68.28,80.42,76.75,83.17,0.7055555555555556,82.40934999999999
128,108.70233333333334,108.05,78.27,76.47,105.78,71.07,79.5,77.15,77.95,76.4,0.7111111111111111,85.93423333333332
129,85.47433333333333,112.62999999999998,70.62999999999998,66.17,96.08,71.85,89.18,79.05,80.68,73.92,0.7166666666666667,82.56643333333332
130,74.57033333333334,116.82,76.07,64.5,91.12999999999998,69.07,74.9,111.72,74.07,75.9,0.7222222222222222,82.87503333333333
131,86.40416666666667,112.47,97.27,100.03,81.8,67.67,74.35,107.73,77.7,84.3,0.7277777777777777,88.97241666666667
132,84.74166666666666,111.98,83.98,109.62999999999998,75.42,75.98,83.43,94.62000000000002,78.5,89.27,0.7333333333333333,88.75516666666667
133,77.23566666666667,107.33,103.93,135.37,84.62000000000002,91.03,89.23,76.02,78.4,84.8,0.7388888888888889,92.79656666666666
134,70.54299999999999,110.28,72.27,114.78,89.32,79.9,120.3,84.48,72.75,84.03,0.7444444444444445,89.86529999999999
135,76.12933333333334,109.25,76.62999999999998,97.75,90.5,72.6,92.22,92.8,76.83,77.55,0.75,86.22593333333333
136,86.17733333333334,109.92,82.0,75.9,87.8,69.93,74.95,88.6,76.37999999999998,93.0,0.7555555555555555,84.46573333333335
137,94.6755,106.57,85.85,68.18,78.35,70.78,67.33,97.17,75.53,88.3,0.7611111111111111,83.27354999999999
138,95.55749999999999,105.68,86.67,74.95,82.23,65.67,81.37999999999998,121.55,79.83,87.92,0.7666666666666667,88.14375
139,82.57616666666667,106.2,95.73,64.22,71.73,74.18,86.27,135.82,84.25,100.43,0.7722222222222223,90.14061666666669
140,99.59133333333334,98.03,79.02,64.87,75.37999999999998,70.57,86.15,127.48,79.35,99.12000000000002,0.7777777777777778,87.95613333333333
141,81.97883333333333,97.17,72.67,69.8,73.83,69.97,72.28,106.12999999999998,79.48,83.03,0.7833333333333333,80.63388333333333
142,81.99499999999999,101.97,75.85,69.47,101.07,69.18,67.65,78.68,86.8,75.98,0.7888888888888889,80.86449999999999
143,109.304,106.15,77.37999999999998,95.48,102.23,66.8,73.15,75.23,84.33,75.27,0.7944444444444444,86.53240000000001
144,105.19433333333333,106.28,81.8,82.7,94.95,73.42,80.58,91.93,85.67,73.22,0.8,87.57443333333335
145,95.86933333333333,101.73,94.7,105.53,109.9,76.65,85.85,97.37000000000002,79.68,83.78,0.8055555555555556,93.10593333333334
146,82.82766666666666,98.52,96.28,73.83,93.75,77.65,76.77,85.0,76.42,84.77,0.8111111111111111,84.58176666666665
147,79.1575,96.68,87.0,71.7,94.02,71.52,82.92,92.22,93.8,79.47,0.8166666666666667,84.84875
148,90.50116666666666,104.25,84.37000000000002,65.83,76.93,78.75,78.07,92.9,91.4,78.37000000000002,0.8222222222222222,84.13711666666667
